ADDRESS,POINTS
99 NOLAN HILL BV NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
97 NOLAN HILL BV NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
95 NOLAN HILL BV NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
93 NOLAN HILL BV NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
91 NOLAN HILL BV NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
80 NOLAN HILL HT NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
78 NOLAN HILL HT NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
76 NOLAN HILL HT NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
74 NOLAN HILL HT NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
63 NOLAN HILL BV NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
61 NOLAN HILL BV NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
59 NOLAN HILL BV NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
57 NOLAN HILL BV NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
55 NOLAN HILL BV NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
51 NOLAN HILL BV NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
49 NOLAN HILL BV NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
47 NOLAN HILL BV NW,-6033.445 13708.449|-6030.991 13703.712|-6008.139 13659.623|-5988.629 13661.702|-5962.352 13664.493|-5945.512 13681.751|-5931.258 13696.362|-5952.439 13743.164|-5949.888 13744.320|-5908.875 13762.879|-5898.857 13767.415|-5862.800 13783.728|-5854.314 13787.575|-5811.532 13806.934|-5824.660 13827.827|-5829.274 13835.166|-5837.110 13847.642|-5837.956 13848.688|-5838.977 13849.555|-5840.130 13850.222|-5841.395 13850.678|-5842.717 13850.900|-5844.059 13850.878|-5845.373 13850.622|-5846.617 13850.122|-5871.133 13839.036|-5872.985 13838.191|-5902.562 13824.814|-5911.804 13820.644|-5914.285 13819.521|-5944.701 13805.766|-5981.331 13789.221|-6010.236 13776.155|-6018.017 13772.641|-6027.279 13768.594|-6039.002 13763.846|-6050.865 13759.465|-6051.124 13759.365|-6059.093 13756.652|-6067.111 13754.105|-6075.185 13751.715|-6083.308 13749.491|-6091.780 13747.367|-6100.295 13745.410|-6115.884 13742.018|-6124.426 13740.150|-6127.418 13739.494|-6127.481 13739.483|-6171.227 13729.943|-6176.603 13728.775|-6179.825 13727.863|-6182.922 13726.573|-6185.844 13724.950|-6188.564 13722.993|-6191.031 13720.725|-6193.226 13718.200|-6195.107 13715.432|-6196.652 13712.463|-6198.085 13709.572|-6199.741 13706.792|-6201.608 13704.156|-6203.684 13701.677|-6204.698 13700.565|-6184.327 13680.694|-6170.570 13681.384|-6146.474 13683.630|-6129.396 13685.220|-6096.059 13691.158|-6090.480 13692.147|-6060.952 13700.587
