ADDRESS,POINTS
305 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
306 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
307 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
308 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
309 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
310 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
311 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
312 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
313 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
314 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
315 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
316 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
317 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
318 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
319 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
320 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
321 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
322 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
323 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
324 550 WESTWOOD DR SW,-5855.908 -1028.638|-5852.419 -1027.381|-5846.757 -1024.935|-5841.305 -1022.044|-5836.090 -1018.741|-5831.154 -1015.050|-5825.744 -1010.946|-5820.075 -1007.221|-5814.161 -1003.886|-5808.037 -1000.950|-5801.725 -998.448|-5795.258 -996.369|-5788.673 -994.734|-5781.990 -993.556|-5775.238 -992.822|-5768.457 -992.544|-5761.669 -992.733|-5754.909 -993.378|-5748.212 -994.478|-5741.606 -996.024|-5735.112 -998.014|-5728.772 -1000.439|-5725.130 -1001.862|-5721.418 -1003.096|-5717.650 -1004.152|-5713.833 -1005.031|-5709.981 -1005.709|-5706.102 -1006.210|-5702.194 -1006.510|-5698.286 -1006.621|-5697.916 -1006.610|-5696.790 -1006.521|-5695.686 -1006.265|-5694.644 -1005.831|-5693.680 -1005.242|-5692.428 -1004.086|-5691.478 -1002.662|-5690.890 -1001.061|-5690.688 -999.371|-5690.653 -932.732|-5693.659 -932.732|-5816.398 -932.676|-5852.405 -953.514|-5855.894 -955.527|-5855.894 -957.451|-5855.894 -959.852|-5855.894 -968.114|-5855.894 -976.376|-5855.894 -978.778|-5855.901 -987.040|-5855.901 -989.430|-5855.901 -997.703|-5855.901 -1000.094|-5855.901 -1008.356|-5855.901 -1010.757|-5855.901 -1019.019|-5855.901 -1021.421|-5855.901 -1026.102
