ADDRESS,POINTS
12840 SHAGANAPPI TR NW,-5325.988 13204.180|-5332.803 13204.825|-5339.654 13204.847|-5346.477 13204.235|-5353.216 13203.012|-5359.815 13201.166|-5365.470 13199.554|-5371.230 13198.386|-5377.067 13197.675|-5382.939 13197.430|-5405.532 13197.341|-5419.136 13197.363|-5439.128 13197.274|-5479.589 13151.284|-5466.140 13139.464|-5452.187 13128.245|-5437.758 13117.637|-5422.890 13107.674|-5407.601 13098.344|-5406.560 13097.855|-5405.448 13097.533|-5404.302 13097.388|-5403.148 13097.421|-5402.009 13097.622|-5400.919 13098.011|-5399.898 13098.556|-5398.975 13099.256|-5398.178 13100.090|-5392.131 13107.284|-5383.289 13117.648|-5369.804 13132.804|-5353.719 13149.905|-5337.123 13166.518|-5320.039 13182.619|-5319.375 13183.331|-5318.843 13184.142|-5318.438 13185.032|-5318.186 13185.966|-5318.088 13186.933|-5318.151 13187.901|-5318.368 13188.846|-5318.731 13189.747|-5319.235 13190.569|-5319.871 13191.314|-5320.612 13191.937|-5321.255 13192.393|-5324.610 13196.985|-5327.742 13198.031
2116 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2117 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2118 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2119 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2201 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2202 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2203 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2204 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2205 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2206 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2207 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2208 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2209 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2210 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2211 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2212 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2213 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2214 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2215 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2216 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2217 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2218 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2219 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
173S 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
174S 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
175S 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
176S 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
177S 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2301 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2302 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2303 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
2304 402 KINCORA GLEN RD NW,-5167.465 13158.656|-5170.205 13158.512|-5172.931 13158.834|-5175.567 13159.613|-5178.034 13160.825|-5180.250 13162.448|-5182.173 13164.416|-5191.610 13166.251|-5199.921 13140.821|-5204.947 13125.165|-5235.517 13100.724|-5237.390 13099.223|-5262.165 13079.419|-5266.513 13075.939|-5284.233 13041.401|-5264.192 13031.260|-5245.800 13021.675|-5227.708 13011.546|-5209.932 13000.871|-5192.476 12989.673|-5115.693 13131.536|-5115.826 13131.847|-5117.343 13132.948|-5117.650 13133.093|-5120.216 13134.994|-5128.374 13140.443|-5137.629 13146.314|-5147.115 13151.807|-5156.804 13156.922|-5159.335 13157.978|-5161.998 13158.623|-5164.731 13158.857
