ADDRESS,POINTS
2804 28 AV SE,5470.294 -2094.630|5465.673 -2093.351|5465.680 -2136.517|5475.740 -2139.842|5489.000 -2139.797|5489.070 -2102.169|5521.667 -2101.958|5522.611 -2095.864|5515.327 -2095.909|5509.552 -2095.953|5503.785 -2095.987|5496.466 -2096.031|5489.154 -2096.075|5483.387 -2096.109|5477.613 -2096.142|5475.712 -2096.153
2851 28 ST SE,5489.000 -2139.797|5516.641 -2139.697|5520.716 -2135.194|5520.297 -2126.876|5520.318 -2118.548|5520.772 -2110.231|5521.667 -2101.958|5489.070 -2102.169
318 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
316 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
314 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
308 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
306 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
304 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
302 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
326 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
328 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
330 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
332 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
336 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
338 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
340 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
342 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
344 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
346 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
345 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
343 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
341 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
339 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
337 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
335 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
334 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
333 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
331 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
329 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
327 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
325 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
143V 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
217 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
145V 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
146V 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
147V 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
148V 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
149V 2727 28 AV SE,5475.712 -2221.281|5475.712 -2216.689|5475.719 -2208.594|5475.726 -2188.601|5475.740 -2161.836|5470.504 -2161.703|5465.282 -2161.269|5459.613 -2160.468|5453.999 -2159.312|5452.154 -2158.789|5445.359 -2157.222|5438.480 -2156.099|5431.539 -2155.431|5424.569 -2155.220|5350.316 -2155.387|5348.219 -2155.543|5346.164 -2155.987|5344.193 -2156.721|5342.340 -2157.722|5340.649 -2158.978|5339.146 -2160.457|5337.866 -2162.136|5336.839 -2163.971|5331.260 -2175.813|5325.703 -2187.600|5312.421 -2232.779|5341.816 -2232.690|5451.916 -2232.300|5455.677 -2232.356|5457.299 -2232.289|5465.247 -2232.256|5469.322 -2232.245|5475.705 -2232.223
